batter,name,apr_PA,apr_BABIP,apr_hard_hit_rate,apr_barrel_rate,apr_z_contact_rate,apr_hr_fb_rate,apr_BA,apr_wOBA,apr_HR_rate,apr_xBA,apr_xwOBA,luck_score,verdict,mj_PA,mj_BABIP,mj_BA,mj_wOBA,mj_HR_rate,year,delta_BABIP,delta_BA,delta_wOBA,delta_HR_rate,xwOBA_gap,xBA_gap
592192,Mark Canha,100,0.2537,0.20833333333333334,0.07352941176470588,0.8403,0.087,0.2235,0.307,0.02,0.2788615384615385,0.31811092723180795,0.2293,Buy low,203,0.292,0.2558,0.33571428571428574,0.0197,2023,0.0382,0.0323,0.0287,-0.0003,0.0111,0.0553
592206,Nick Castellanos,122,0.3974,0.23648648648648649,0.10975609756097561,0.8182,0.3077,0.3125,0.3950819672131148,0.0328,0.3903536585365854,0.37662647067582733,-0.496,Sell high,318,0.3333,0.2584,0.3210691823899371,0.0314,2023,-0.0641,-0.0541,-0.074,-0.0013,-0.0185,0.0779
592273,Brandon Drury,102,0.2881,0.2892561983471074,0.09523809523809523,0.7886,0.2632,0.234,0.31323529411764706,0.049,0.3609180327868852,0.33304369591966343,0.0534,Slight buy,205,0.3534,0.2979,0.37365853658536585,0.0439,2023,0.0652,0.0638,0.0604,-0.0051,0.0198,0.1269
592450,Aaron Judge,108,0.3396,0.38461538461538464,0.22033898305084745,0.7152,0.3,0.2581,0.3819444444444444,0.0556,0.43861403508771935,0.42002945517981755,-0.1986,Sell high,118,0.3404,0.3226,0.534322033898305,0.1186,2023,0.0008,0.0645,0.1524,0.0631,0.0381,0.1805
592518,Manny Machado,118,0.2785,0.23125,0.07317073170731707,0.8067,0.1667,0.2364,0.2919491525423729,0.0339,0.2854567901234568,0.31023401330228395,0.1033,Slight buy,277,0.2629,0.2713,0.373826714801444,0.0578,2023,-0.0156,0.0349,0.0819,0.0239,0.0183,0.0491
592626,Joc Pederson,61,0.3143,0.3170731707317073,0.19444444444444445,0.7949,0.1818,0.2453,0.35819672131147545,0.0328,0.3743714285714286,0.38117271662763463,-0.0704,Slight sell,196,0.2544,0.2346,0.3619897959183674,0.0459,2023,-0.0599,-0.0107,0.0038,0.0131,0.023,0.1291
592663,J. t. Realmuto,102,0.3478,0.265625,0.08333333333333333,0.8279,0.1765,0.2812,0.3377450980392157,0.0294,0.3647285714285714,0.3458791006332291,-0.2429,Sell high,270,0.2778,0.225,0.33685185185185185,0.0333,2023,-0.07,-0.0562,-0.0009,0.0039,0.0081,0.0835
592669,Hunter Renfroe,120,0.2692,0.3227848101265823,0.08235294117647059,0.8369,0.2917,0.2593,0.36625,0.0583,0.27367857142857144,0.35187833193979934,0.1468,Buy low,288,0.2932,0.251,0.3315972222222222,0.0347,2023,0.024,-0.0083,-0.0347,-0.0236,-0.0144,0.0144
592696,Eddie Rosario,78,0.2745,0.25,0.1111111111111111,0.7083,0.2308,0.2297,0.2967948717948718,0.0385,0.3544629629629629,0.3653181049457916,0.1232,Buy low,257,0.2919,0.25,0.3348249027237354,0.0506,2023,0.0174,0.0203,0.038,0.0121,0.0685,0.1247
592885,Christian Yelich,117,0.303,0.3219178082191781,0.043478260869565216,0.7848,0.3,0.2233,0.3055555555555556,0.0256,0.3705797101449275,0.3372884850192543,-0.0232,Neutral,329,0.3529,0.3106,0.40364741641337387,0.0395,2023,0.0499,0.0873,0.0981,0.0139,0.0317,0.1473
593160,Whit Merrifield,85,0.381,0.109375,0.031746031746031744,0.844,0.0,0.32,0.3594117647058824,0.0,0.3254098360655738,0.31693559577677227,-0.4071,Sell high,311,0.3377,0.2986,0.35305466237942124,0.0289,2023,-0.0432,-0.0214,-0.0064,0.0289,-0.0425,0.0054
593428,Xander Bogaerts,125,0.3214,0.21830985915492956,0.09090909090909091,0.8369,0.2609,0.3084,0.3968,0.048,0.30726436781609195,0.3714132052052052,-0.1153,Slight sell,308,0.2972,0.2473,0.30762987012987014,0.0162,2023,-0.0243,-0.0611,-0.0892,-0.0318,-0.0254,-0.0011
595281,Kevin Kiermaier,79,0.3585,0.22988505747126436,0.018867924528301886,0.7905,0.0769,0.274,0.31962025316455694,0.0127,0.34596153846153843,0.29373417721518985,-0.2947,Sell high,207,0.3262,0.2717,0.34541062801932365,0.0193,2023,-0.0322,-0.0022,0.0258,0.0067,-0.0259,0.072
