batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA
642201,Eli White,38,0.172,0.258,0.097,0.097,83.49354838709678,0.809,0.25,0.226,0.347,0.484,0.258,0.026,0.158,0.167,0.275,0.32
687551,Drew Gilbert,37,0.292,0.48,0.08,0.16,90.03200000000001,0.878,0.667,0.5,0.194,0.481,0.111,0.054,0.216,0.25,0.322,0.35
671655,George Valera,37,0.276,0.345,0.0,0.034,90.15862068965517,0.886,0.0,0.621,0.393,0.517,0.069,0.027,0.189,0.143,0.266,0.204
803011,Sam Antonacci,36,0.185,0.308,0.077,0.077,86.47692307692309,0.914,0.0,0.296,0.282,0.481,0.259,0.083,0.083,1.0,0.276,0.35
678009,Parker Meadows,35,0.348,0.217,0.043,0.0,86.33478260869565,0.911,0.0,0.391,0.272,0.478,0.174,0.057,0.257,0.222,0.296,0.255
669326,Bryce Teodosio,35,0.471,0.353,0.118,0.118,85.97058823529412,0.756,0.0,0.412,0.351,0.667,0.111,0.057,0.429,0.133,0.261,0.209
678218,Brandon Valenzuela,35,0.211,0.35,0.05,0.15,85.10499999999999,0.808,0.333,0.55,0.439,0.55,0.15,0.029,0.4,0.071,0.18,0.2
665877,José Fermín,34,0.318,0.478,0.0,0.087,87.16521739130435,0.872,0.167,0.522,0.2,0.348,0.261,0.088,0.206,0.429,0.347,0.33
641680,Jonah Heim,34,0.28,0.32,0.04,0.16,85.756,0.867,0.0,0.44,0.338,0.36,0.24,0.118,0.147,0.8,0.299,0.271
676439,Hunter Feduccia,34,0.438,0.125,0.0,0.062,84.2375,0.75,0.0,0.5,0.282,0.438,0.25,0.176,0.353,0.5,0.309,0.28
545341,Randal Grichuk,33,0.273,0.545,0.182,0.318,89.66363636363636,0.778,0.0,0.364,0.356,0.409,0.364,0.03,0.303,0.1,0.227,0.313
624424,Michael Conforto,33,0.471,0.471,0.059,0.235,94.51764705882353,0.865,0.0,0.471,0.244,0.412,0.176,0.212,0.273,0.778,0.398,0.414
669743,Alex Call,33,0.348,0.217,0.0,0.043,85.33478260869565,1.0,0.0,0.478,0.171,0.435,0.217,0.182,0.091,2.0,0.388,0.378
