player_type,mlbam_id,name,verdict,luck_score,trend_dir,trend_score,trend_score_final,n_layers,recent_pa,prior_pa,l1_gap_delta,l2_cq_score,babip_delta,l4_pd_score,bs_delta_mph,bs_flag,recent_xwoba_gap,prior_xwoba_gap,hh_delta_pp,brl_delta_pp,ev_delta_mph,recent_babip,prior_babip,layer6_modifier,worst_pitch_vulnerability,worst_pitch_delta,vulnerability_severity,approach_change_flag,barrel_supported,ld_delta_pp,fb_delta_pp,barrel_delta_pp,layer6_notes
pitcher,663436,Davis Martin,Sell high,-0.4370,Hot,0.0592,0.0592,5,71,100,-0.0471,0.0348,-0.0160,0.0972,0.7805,False,-0.0018,-0.0489,-3.4070,4.4632,-1.5577,0.2922,0.3082,0.0000,,,n/a,False,True,,,,
hitter,680700,Richie Palacios,Sell high,-0.1991,Hot,0.0589,0.0589,5,40,33,-0.0903,0.0756,0.1414,-0.0680,2.2080,False,-0.0695,0.0208,3.0934,11.1111,1.3404,0.4444,0.3030,0.0000,4-Seam,2.7000,none,False,True,,,,
hitter,677649,Ezequiel Duran,Sell high,-0.2044,Hot,0.1558,0.0558,5,76,46,-0.0046,0.1466,0.0222,-0.0004,1.1496,False,-0.0389,-0.0343,13.2261,6.1111,3.1053,0.3629,0.3407,-0.1000,Cutter,-7.4000,moderate,False,True,6.8000,-12.4000,0.9000,Moderate Cutter vulnerability (Δ-7.4/100)
hitter,669003,Garrett Mitchell,Sell high,-0.2523,Hot,0.1035,0.0535,5,59,60,0.0217,0.0612,0.0461,-0.0167,0.7582,False,0.0385,0.0168,-2.2380,-8.1393,4.8386,0.3201,0.2740,-0.0500,Slider,-3.3000,mild,False,True,1.9000,-16.2000,,Mild Slider vulnerability (Δ-3.3/100)
pitcher,571927,Steven Matz,Slight sell,-0.1287,Hot,0.0485,0.0485,5,22,84,0.0375,0.0077,0.0050,-0.0485,1.0381,False,-0.0730,-0.0355,4.0520,-4.5753,-0.7119,0.2110,0.2060,0.0000,,,n/a,False,True,,,,
pitcher,681190,Randy Vásquez,Sell high,-0.3228,Hot,0.0387,0.0387,5,66,91,-0.0057,0.0621,-0.0352,-0.0279,-0.1783,False,-0.0431,-0.0487,0.4828,-12.7121,-1.3173,0.2847,0.3199,0.0000,,,n/a,False,True,,,,
hitter,805367,Chase Meidroth,Slight sell,-0.1372,Hot,0.0361,0.0361,5,72,80,-0.0783,-0.0132,0.0602,-0.0407,4.0407,False,-0.0514,0.0269,-1.6857,0.4255,-0.3039,0.4049,0.3448,0.0000,Cutter,-2.4000,none,False,True,2.8000,-13.5000,2.5000,
pitcher,650644,Aaron Civale,Sell high,-0.5161,Hot,0.0353,0.0353,5,71,90,-0.0639,0.1464,-0.0266,-0.0385,-0.3090,False,0.0469,-0.0171,-14.8261,-0.7041,-3.5065,0.3323,0.3590,0.0000,,,n/a,False,True,,,,
hitter,802139,Jj Wetherholt,Buy low,0.1919,Hot,0.0343,0.0343,5,80,83,0.0183,0.0306,0.0533,-0.0213,-0.6385,False,0.0301,0.0118,-4.1052,-2.7196,2.9640,0.2531,0.1998,0.0000,,,none,False,True,3.6000,-1.1000,,
pitcher,700669,Gordon Graceffo,Sell high,-0.2017,Hot,0.0306,0.0306,5,42,40,-0.0533,0.1453,-0.0100,-0.0483,-0.4052,False,-0.0553,-0.1086,-15.0714,1.6071,-3.7369,0.1567,0.1668,0.0000,,,n/a,False,True,,,,
hitter,678662,Ezequiel Tovar,Buy low,0.3100,Hot,0.1292,0.0292,5,57,72,0.0305,0.0977,0.0165,0.0992,-1.1875,True,0.0642,0.0337,14.2140,-0.1898,1.3590,0.2777,0.2612,-0.1000,Changeup,-5.1000,moderate,False,False,10.7000,-7.9000,-1.7000,Moderate Changeup vulnerability (Δ-5.1/100)
pitcher,622608,Antonio Senzatela,Slight sell,-0.1202,Flat,0.0286,0.0286,5,41,39,0.0025,0.0565,0.0065,-0.0471,0.2364,False,-0.0790,-0.0766,8.5723,-0.2521,-4.9313,0.2031,0.1966,0.0000,,,n/a,False,True,,,,
pitcher,680694,Kyle Bradish,Buy low,0.2223,Flat,0.0278,0.0278,5,93,98,0.0111,-0.1103,-0.1465,0.0530,0.6599,False,0.0083,0.0194,4.5477,3.0166,3.9252,0.2541,0.4007,0.0000,,,n/a,False,True,,,,
pitcher,608379,Michael Wacha,Sell high,-0.7399,Flat,0.0233,0.0233,5,101,77,-0.0955,0.1537,0.0071,-0.0463,0.7271,False,0.0201,-0.0754,-19.1595,-3.7437,-2.3333,0.2390,0.2319,0.0000,,,n/a,False,True,,,,
hitter,671289,Tyler Freeman,Neutral,0.1702,Hot,0.0727,0.0227,5,40,56,-0.0342,0.0177,-0.0679,0.0040,3.9289,False,-0.0041,0.0301,5.0595,0.0000,-0.3821,0.2208,0.2886,-0.0500,Changeup,-3.4000,mild,False,False,5.9000,-14.2000,-2.6000,Mild Changeup vulnerability (Δ-3.4/100)
hitter,669257,Will Smith,Buy low,0.2421,Hot,0.0717,0.0217,5,59,62,0.0977,0.1223,-0.1155,-0.0383,-1.9526,True,0.1044,0.0066,6.4760,14.4091,2.3349,0.2636,0.3791,-0.0500,Slider,-4.8000,mild,False,True,8.1000,3.6000,4.0000,Mild Slider vulnerability (Δ-4.8/100)
hitter,663743,Nick Fortes,Slight sell,-0.1245,Hot,0.1215,0.0215,5,40,46,-0.0195,0.1028,0.0174,-0.0400,2.3929,False,-0.0046,0.0148,15.7005,0.0000,1.2132,0.3290,0.3116,-0.1000,Cutter,-6.4000,moderate,False,False,-6.3000,-9.0000,-2.7000,Moderate Cutter vulnerability (Δ-6.4/100)
hitter,686469,Vinnie Pasquantino,Buy low,0.2915,Hot,0.0676,0.0176,5,78,74,0.0249,0.0375,0.1299,-0.0318,-0.7788,False,0.0391,0.0142,-3.1965,1.5795,2.4380,0.2628,0.1328,-0.0500,Slider,-4.2000,mild,False,True,4.7000,-4.4000,-0.1000,Mild Slider vulnerability (Δ-4.2/100)
pitcher,693686,Spencer Miles,Slight sell,-0.0930,Flat,0.0127,0.0127,5,42,33,-0.0275,0.0356,-0.0043,0.0576,-0.6245,False,-0.0213,-0.0488,6.5296,2.3810,-3.7688,0.2368,0.2411,0.0000,,,n/a,False,True,,,,
hitter,656555,Rhys Hoskins,Neutral,0.1531,Flat,0.0100,0.0100,5,48,56,-0.0117,0.0204,-0.1266,0.0188,1.5537,False,-0.0104,0.0013,6.7444,11.6476,-2.4122,0.1330,0.2596,0.0000,Slider,-2.2000,none,False,False,1.2000,-3.7000,-1.1000,
hitter,607208,Trea Turner,Buy low,0.2073,Hot,0.0573,0.0073,5,84,80,0.0391,0.0666,0.0075,-0.0551,-0.3501,False,0.0254,-0.0137,7.3858,-2.2126,1.8151,0.2379,0.2304,-0.0500,Cutter,-4.9000,mild,False,False,-2.3000,-0.2000,-1.9000,Mild Cutter vulnerability (Δ-4.9/100)
hitter,606466,Ketel Marte,Buy low,0.2885,Hot,0.0559,0.0059,5,73,70,-0.0077,0.0512,-0.0672,0.0161,1.3844,False,0.0549,0.0626,5.3322,1.8612,0.9463,0.2009,0.2680,-0.0500,Splitter,-4.9000,mild,False,True,2.4000,-5.4000,0.6000,Mild Splitter vulnerability (Δ-4.9/100)
hitter,662139,Daulton Varsho,Sell high,-0.1893,Hot,0.1545,0.0045,5,78,61,0.0460,0.1528,0.0001,0.0330,-1.0080,True,-0.0332,-0.0792,19.1132,3.5577,2.3279,0.3333,0.3332,-0.1500,Cutter,-8.7000,severe,False,False,13.4000,-16.3000,-2.2000,Severe Cutter vulnerability (Δ-8.7/100)
hitter,680757,Steven Kwan,Buy low,0.1964,Hot,0.0529,0.0029,5,79,74,-0.0011,0.0115,-0.0301,0.0354,1.3076,False,0.0205,0.0217,4.6741,0.0000,-0.5941,0.2120,0.2421,-0.0500,Changeup,-4.5000,mild,False,False,0.1000,-5.9000,-1.0000,Mild Changeup vulnerability (Δ-4.5/100)
hitter,670042,Luke Raley,Sell high,-0.2340,Flat,0.0024,0.0024,5,45,53,-0.0688,0.1747,-0.0755,0.0039,-1.3431,True,-0.0478,0.0211,24.8011,7.7236,1.3749,0.2756,0.3511,0.0000,Changeup,-2.7000,none,False,True,3.7000,-1.5000,10.5000,
pitcher,667755,José Soriano,Sell high,-0.5093,Flat,0.0019,0.0019,5,76,92,0.0696,-0.0509,-0.0081,-0.0344,-0.4348,False,-0.0875,-0.0179,6.4784,0.7242,0.8169,0.2594,0.2675,0.0000,,,n/a,False,True,,,,
pitcher,669372,J. t. Ginn,Sell high,-0.2816,Flat,-0.0000,-0.0000,5,103,72,0.0455,-0.0202,0.0596,0.0010,-0.2016,False,-0.0417,0.0038,0.5453,-2.1147,1.1917,0.2533,0.1937,0.0000,,,n/a,False,True,,,,
