mlbam_id,xwoba_gap,babip_allowed,pa,year
656546,0.0194,0.3182,53.0,2022
656557,-0.0544,0.254,75.0,2022
656605,0.0565,0.3803,81.0,2022
656629,-0.0419,0.2075,73.0,2022
656638,0.0003,0.3333,32.0,2022
656657,-0.0031,0.25,6.0,2022
656685,0.0049,0.3214,37.0,2022
656686,0.0047,0.3409,45.0,2022
656731,-0.0269,0.2162,105.0,2022
656756,-0.0285,0.2203,81.0,2022
656786,-0.0071,0.4545,16.0,2022
656793,0.0286,0.3243,46.0,2022
656794,0.0269,0.2963,37.0,2022
656803,-0.0035,0.1765,23.0,2022
656818,-0.0266,0.2105,18.0,2022
656849,-0.0662,0.2368,53.0,2022
656876,-0.0466,0.2833,74.0,2022
656887,0.0446,0.2424,44.0,2022
656919,0.0,1.0,,2022
656937,0.0,0.0,,2022
656945,0.0116,0.1667,36.0,2022
656954,-0.1853,0.0833,16.0,2022
656970,0.0,0.2222,,2022
656986,0.0144,0.3333,36.0,2022
657006,0.0469,0.3667,86.0,2022
657024,-0.0206,0.3704,35.0,2022
657044,0.0304,0.1818,27.0,2022
657093,-0.0185,0.197,76.0,2022
657116,0.0,0.6667,,2022
657140,-0.0137,0.2807,91.0,2022
657240,-0.0187,0.2424,38.0,2022
657248,-0.0508,0.2069,37.0,2022
657277,0.0412,0.32,126.0,2022
657376,-0.0314,0.1111,29.0,2022
657424,0.0,0.2,,2022
657508,-0.0279,0.2692,34.0,2022
657612,0.0999,0.4444,21.0,2022
657746,-0.0756,0.1569,83.0,2022
657766,-0.0171,0.2,9.0,2022
658431,0.0,,3.0,2022
658648,-0.0299,0.1818,18.0,2022
659262,0.0,0.1667,,2022
659275,-0.0056,0.2,29.0,2022
660271,0.0081,0.3111,80.0,2022
660440,0.0,0.5,,2022
660623,0.0096,0.3171,37.0,2022
660636,0.1675,0.6667,7.0,2022
660730,0.037,0.2632,13.0,2022
660761,-0.0071,0.2985,80.0,2022
660813,-0.0001,0.16,33.0,2022
660853,-0.0163,0.25,15.0,2022
660896,-0.0091,0.2143,10.0,2022
660906,-0.0607,0.2308,22.0,2022
661255,0.1755,0.6667,9.0,2022
661269,0.0627,0.2424,82.0,2022
661383,-0.0464,0.1579,46.0,2022
661395,0.0598,0.25,41.0,2022
661403,0.0254,0.2667,32.0,2022
661440,0.0039,0.2222,8.0,2022
661527,-0.008,0.2857,4.0,2022
661563,0.0,0.6154,,2022
662165,0.0,0.0,,2022
662253,0.0158,0.25,27.0,2022
663158,-0.0464,0.1,36.0,2022
663359,0.0,0.5,,2022
663372,0.0677,0.4286,23.0,2022
663385,0.0,0.0,,2022
663423,-0.0825,0.2632,45.0,2022
663432,0.0158,0.2778,23.0,2022
663455,-0.1131,0.2,18.0,2022
663460,0.014,0.3095,59.0,2022
663465,-0.004,0.3226,28.0,2022
663474,0.014,0.2857,68.0,2022
663531,0.0147,0.5172,30.0,2022
663554,0.0041,0.2759,45.0,2022
663556,0.0011,0.3188,107.0,2022
663558,0.0,0.0,,2022
663559,-0.0106,0.2308,30.0,2022
663574,-0.0247,0.3043,32.0,2022
663671,0.0,0.0,,2022
663738,-0.0056,0.2698,68.0,2022
663765,-0.0863,0.2632,24.0,2022
663776,-0.0067,0.25,60.0,2022
663804,0.1925,0.6316,21.0,2022
663823,0.0,0.0,,2022
663855,-0.0144,0.3333,36.0,2022
663856,0.0,0.6,,2022
663903,0.0605,0.3333,26.0,2022
663943,0.0,0.1667,,2022
663947,0.0332,0.5,5.0,2022
663977,0.0,0.0,,2022
663978,0.0484,0.3519,60.0,2022
663986,-0.0238,0.1667,34.0,2022
664042,-0.0105,0.3214,28.0,2022
664054,0.0019,0.2632,27.0,2022
664062,-0.016,0.25,70.0,2022
664076,0.0215,0.5,10.0,2022
664092,-0.0273,0.24,21.0,2022
664123,0.0009,0.2593,37.0,2022
664141,0.0197,0.2676,94.0,2022
664157,0.0,0.2,,2022
664158,0.0,0.0,,2022
664199,0.0207,0.1852,29.0,2022
664208,-0.0409,0.303,42.0,2022
664285,0.0282,0.2857,87.0,2022
664294,-0.0281,0.1034,43.0,2022
664299,-0.0187,0.2667,51.0,2022
664337,0.0213,0.3617,50.0,2022
664353,-0.0445,0.2874,86.0,2022
664584,0.0992,0.48,24.0,2022
664682,0.0,0.0,,2022
664747,-0.0056,0.2143,36.0,2022
664776,0.0435,0.375,37.0,2022
664784,0.0,0.0,,2022
664854,-0.0004,0.125,20.0,2022
664875,-0.0102,0.2963,45.0,2022
664910,0.0,0.25,,2022
664944,0.0,0.6,,2022
664948,0.0177,0.3571,17.0,2022
665152,0.0,0.4286,,2022
665621,-0.1066,0.2917,25.0,2022
665645,0.1561,0.7143,11.0,2022
665665,0.0341,0.3393,73.0,2022
665896,0.0,0.5,,2022
666120,0.0154,0.2,83.0,2022
666142,0.0,0.4286,,2022
666157,0.0516,0.3393,69.0,2022
666159,-0.0694,0.25,29.0,2022
666168,-0.0009,0.0,5.0,2022
666200,0.0076,0.25,81.0,2022
666201,-0.0119,0.2237,97.0,2022
666204,0.0073,0.2647,38.0,2022
666374,-0.0065,0.2857,76.0,2022
666745,0.0,0.2222,,2022
666808,-0.0031,0.2759,40.0,2022
666818,-0.0113,0.1667,8.0,2022
666974,0.0,0.0,,2022
667280,0.0,0.3333,,2022
667376,0.0,0.0,,2022
667427,-0.0211,0.3043,37.0,2022
667434,0.0,1.0,,2022
667463,0.0393,0.2069,36.0,2022
667465,0.0009,0.2571,41.0,2022
