id,name,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,season
681198,"Rumfield, TJ",144,0.4444444444444444,0.5555555555555555,0.2361111111111111,0.2777777777777778,0.041666666666666664,0.4791666666666667,0.3194444444444444,0.2013888888888889,0.25,0.14583333333333334,0.04861111111111111,0.22916666666666669,0.17361111111111108,0.1527777777777778,2026
650489,"Castro, Willi",89,0.4044943820224719,0.5955056179775281,0.3258426966292135,0.23595505617977527,0.033707865168539325,0.4157303370786517,0.3146067415730337,0.2696629213483146,0.20224719101123595,0.15730337078651685,0.0449438202247191,0.21348314606741575,0.15730337078651685,0.2247191011235955,2026
664983,"McCarthy, Jake",81,0.48148148148148145,0.5185185185185185,0.1728395061728395,0.25925925925925924,0.08641975308641975,0.345679012345679,0.4567901234567901,0.19753086419753085,0.2345679012345679,0.19753086419753085,0.04938271604938271,0.1111111111111111,0.25925925925925924,0.14814814814814814,2026
670770,"Friedl, TJ",110,0.4636363636363636,0.5363636363636364,0.21818181818181817,0.22727272727272727,0.09090909090909091,0.35454545454545455,0.42727272727272725,0.21818181818181817,0.22727272727272727,0.18181818181818182,0.05454545454545454,0.1272727272727273,0.24545454545454543,0.16363636363636364,2026
680574,"McLain, Matt",128,0.359375,0.640625,0.328125,0.203125,0.109375,0.3359375,0.3984375,0.265625,0.171875,0.171875,0.015625,0.1640625,0.2265625,0.25,2026
702284,"Young, Cole",131,0.37404580152671757,0.6259541984732824,0.2595419847328244,0.2366412213740458,0.1297709923664122,0.48091603053435117,0.32061068702290074,0.1984732824427481,0.2366412213740458,0.10687022900763359,0.030534351145038167,0.24427480916030536,0.21374045801526714,0.16793893129770993,2026
641487,"Crawford, J.P.",115,0.48695652173913045,0.5130434782608695,0.1826086956521739,0.24347826086956523,0.08695652173913043,0.3739130434782609,0.3130434782608696,0.3130434782608696,0.25217391304347825,0.1565217391304348,0.0782608695652174,0.12173913043478263,0.1565217391304348,0.2347826086956522,2026
663728,"Raleigh, Cal",106,0.2830188679245283,0.7169811320754716,0.4716981132075472,0.1320754716981132,0.11320754716981132,0.5094339622641509,0.2830188679245283,0.20754716981132076,0.18867924528301888,0.07547169811320754,0.018867924528301886,0.32075471698113206,0.20754716981132076,0.18867924528301888,2026
663538,"Hoerner, Nico",179,0.39106145251396646,0.6089385474860335,0.22905027932960895,0.2849162011173184,0.09497206703910614,0.3128491620111732,0.45251396648044695,0.2346368715083799,0.16201117318435754,0.1787709497206704,0.05027932960893855,0.15083798882681565,0.2737430167597765,0.18435754189944134,2026
694208,"Ballesteros, Moisés",89,0.43820224719101125,0.5617977528089888,0.24719101123595505,0.25842696629213485,0.056179775280898875,0.3258426966292135,0.38202247191011235,0.29213483146067415,0.19101123595505617,0.19101123595505617,0.056179775280898875,0.13483146067415733,0.19101123595505617,0.23595505617977527,2026
702332,"Durbin, Caleb",118,0.6016949152542372,0.3983050847457627,0.1440677966101695,0.1694915254237288,0.0847457627118644,0.4067796610169492,0.3983050847457627,0.19491525423728814,0.2966101694915254,0.23728813559322035,0.06779661016949153,0.11016949152542377,0.16101694915254236,0.1271186440677966,2026
701762,"Kurtz, Nick",107,0.38317757009345793,0.616822429906542,0.27102803738317754,0.2803738317757009,0.06542056074766354,0.29906542056074764,0.3644859813084112,0.3364485981308411,0.18691588785046728,0.1308411214953271,0.06542056074766354,0.11214953271028036,0.2336448598130841,0.27102803738317754,2026
643446,"McNeil, Jeff",125,0.44,0.5599999999999999,0.16,0.328,0.072,0.384,0.328,0.288,0.216,0.16,0.064,0.168,0.168,0.22399999999999998,2026
545121,"Vargas, Ildemaro",147,0.43537414965986393,0.564625850340136,0.1836734693877551,0.2925170068027211,0.08843537414965986,0.4489795918367347,0.3945578231292517,0.1564625850340136,0.21768707482993196,0.17687074829931973,0.04081632653061224,0.23129251700680273,0.21768707482993196,0.11564625850340138,2026
802415,"Simpson, Chandler",166,0.6144578313253012,0.3855421686746988,0.12048192771084337,0.2289156626506024,0.03614457831325301,0.25903614457831325,0.41566265060240964,0.3253012048192771,0.19879518072289157,0.26506024096385544,0.15060240963855423,0.060240963855421686,0.1506024096385542,0.17469879518072287,2026
670764,"Walls, Taylor",84,0.4523809523809524,0.5476190476190476,0.2857142857142857,0.16666666666666666,0.09523809523809523,0.36904761904761907,0.30952380952380953,0.32142857142857145,0.2261904761904762,0.15476190476190477,0.07142857142857142,0.14285714285714288,0.15476190476190477,0.25,2026
701538,"Merrill, Jackson",129,0.4418604651162791,0.5581395348837209,0.2558139534883721,0.24806201550387597,0.05426356589147287,0.3798449612403101,0.3643410852713178,0.2558139534883721,0.21705426356589147,0.18604651162790697,0.03875968992248062,0.16279069767441862,0.17829457364341084,0.21705426356589147,2026
