batter_id,name,type,age,signal,spotrac_url,snapshot_date,contract_years,contract_total_m,annual_salary_m,guaranteed_m,contract_end_year,years_remaining,raw_text
96,Oneil Cruz,Hitter,28,Sell high,https://www.spotrac.com/mlb/pittsburgh-pirates/oneil-cruz-29148/,20230418,1,0.72,0.72,0.72,2023,0,"Oneil Cruz signed a 1 year / $720,000 contract with the Pittsburgh Pirates, including $720,000 guaranteed, and an annual average salary of $720,000. I"
98,Casey Schmitt,Hitter,27,Sell high,https://www.spotrac.com/mlb/san-francisco-giants/casey-schmitt-48405/,20230807,1,0.72,0.72,0.72,2023,0,"Casey Schmitt signed a 1 year / $720,000 contract with the San Francisco Giants, including $720,000 guaranteed, and an annual average salary of $720,0"
103,Robbie Ray,Pitcher,35,Sell high,https://www.spotrac.com/mlb/san-francisco-giants/robbie-ray-14151/,20240418,5,115.0,23.0,115.0,2027,1,"Robbie Ray signed a 5 year / $115,000,000 contract with the Seattle Mariners, including $115,000,000 guaranteed, and an annual average salary of $23,0"
104,Colt Keith,Hitter,25,Sell high,https://www.spotrac.com/mlb/detroit-tigers/colt-keith-48488/,20240416,6,28.64,4.77,,2029,3,"Colt Keith signed a 6 year / $28,642,500 contract with the Detroit Tigers, including a $2,000,000 signing bonus, $28,642,500 guaranteed, and an annual"
105,Randy Vásquez,Pitcher,28,Sell high,https://www.spotrac.com/mlb/san-diego-padres/randy-vasquez-31905/,20240421,1,0.74,0.74,0.74,2024,0,"Randy Vasquez signed a 1 year / $740,000 contract with the San Diego Padres, including $740,000 guaranteed, and an annual average salary of $740,000. "
107,Matt Olson,Hitter,32,Sell high,https://www.spotrac.com/mlb/atlanta-braves/matt-olson-21058/,20240311,8,168.0,21.0,168.0,2031,5,"Matt Olson signed a 8 year / $168,000,000 contract with the Atlanta Braves, including $168,000,000 guaranteed, and an annual average salary of $21,000"
115,Logan O'hoppe,Hitter,26,Slight buy,https://www.spotrac.com/mlb/los-angeles-angels/logan-ohoppe-26395/,20230608,1,0.73,0.73,0.73,2023,0,"Logan O'Hoppe signed a 1 year / $730,000 contract with the Los Angeles Angels, including $730,000 guaranteed, and an annual average salary of $730,000"
116,Cal Raleigh,Hitter,30,Slight buy,https://www.spotrac.com/mlb/seattle-mariners/cal-raleigh-26119/,20240205,1,0.76,0.76,,2024,0,"Signed a 1 year $758,300"
119,Luis Castillo,Pitcher,34,Slight buy,https://www.spotrac.com/mlb/seattle-mariners/luis-castillo-21248/,20231005,5,108.0,21.6,,2027,1,"Luis Castillo signed a 5 year / $108,000,000 contract with the Seattle Mariners, including a $7,000,000 signing bonus, $108,000,000 guaranteed, and an"
120,Bryan Woo,Pitcher,26,Slight buy,https://www.spotrac.com/mlb/seattle-mariners/bryan-woo-73436/,20230804,1,0.72,0.72,0.72,2023,0,"Bryan Woo signed a 1 year / $720,000 contract with the Seattle Mariners, including $720,000 guaranteed, and an annual average salary of $720,000. In 2"
